word,newmeaning,meaning,urls
akh,a,a,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/a.mp3?raw=true
पेठॅ कनि,above,above,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/above.mp3?raw=true
पत,after,after,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/after.mp3?raw=true
बेयि,again,again,
छुस,am ,am,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/am.mp3?raw=true
बेयि,and,and,
काँह ति,any ,any,
च्यठ,at,at,
क्याजि,because,because,
बोन कनि,below,below,
दोन मँज,between,between,
दोनवय,both,both,
च्योन,but,but,
हेकुन,can,can,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/can.mp3?raw=true
हेकि न,couldn't,couldn't,
करि न,didn't,didn't,
करून,do ,do,
मगर,does,does,
म कर,don't,don't,
कोरॅ,done,done,
बोन कनि,down,down,
द्रथ काँह,each,each,
केन्ह,few,few,
रवातेर,for,for,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/for.mp3?raw=true
ब्रोन्ठकुन,further,further,
ओस,had,had,
छ्स नॅ,haven't,haven't,
छः,having,having,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/having.mp3?raw=true
हु,he ,he,
स्वर्ग,heaven,heaven,
तमिसुन्द,her,her,
येतनॅस,here,here,
तसुन्द,hers,hers,
तमिसुन्द,herself,herself,
पानस,himself,himself,
तमिसुन्द,his,his,
किथकेने,how,how,
अन्दरअ,in,in,
छु,is,is,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/is.mp3?raw=true
यि,it,it,
यि छु,it is,it is,
अमि सुन्द,its,its,
पानय,itself,itself,
यिथय,just,just,
म्य,me ,me,
म्योन,my,my,
ब पानय,myself,myself,
जरुरत छुनः,needn't,needn't,
न,not,not,
वुन्य,now,now,
छः,of,of,
छुटटी,off,off,
प्यठ,on,on,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/on.mp3?raw=true
अकि लटि,once,once,
कुनुय,only,only,
या,or,or,
छि,our,our,
सोन,our ,our,
सोन,ours,ours,
पानय,ourselves,ourselves,
नेबर,out,out,
व्यठ,over,over,
पनुन,own,own,
हू ब हू,same,same,
हेकि,should,should,
वज़ि,should've,should've,
पज़ि न,shouldn't,shouldn't,
अद,so,so,
काँह ति,some,some,
त्युथ,such,such,
हु,that,that,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/that.mp3?raw=true
हु छु,that'll,that'll,
तिहुन्द,their,their,
तिहुन्द,theirs,theirs,
तिमन,them,them,
पानय,themselves,themselves,
तेलि,then,then,
हुति,there,there,
यिम सारी,these,these,
यि,this,this,
वारयाह,those ,those,
कमिस,too,too,
बोनकनि,under,under,
हयोर,up,up,
ओस,was ,was,
ऄसि न,wasn't ,wasn't,
अस्य,we,we,
क्या,what,what,
कर,when,when,
कथ,which,which,
बुन्ज,while,while,
कुस,who,who,
कमिस,whom,whom,
क्याजि,why,why,
सडेत,with,with,
ज़्येनुन,won,won,
हेकि ने,wouldn't ,wouldn't,
चय ओसुय,you'd,you'd,
च्य,you'll,you'll,
च़ छुरव,you're,you're,
च्य छुय,you've,you've,
च्योन,yourself,yourself,
करि,yourselves,yourselves,
यि,the,the,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/the.mp3?raw=true
b,i,i,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/I.mp3?raw=true
choun,your,your,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/your.mp3?raw=true
