,index,word,meaning,urls
0,0,akh,a,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/a.mp3?raw=true
1,1,पेठॅ कनि,above,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/above.mp3?raw=true
2,2,पत,after,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/after.mp3?raw=true
3,4,छुस,am,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/am.mp3?raw=true
4,13,हेकुन,can,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/can.mp3?raw=true
5,23,रवातेर,for,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/for.mp3?raw=true
6,27,छः,having,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/having.mp3?raw=true
7,38,छु,is,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/is.mp3?raw=true
8,52,प्यठ,on,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/on.mp3?raw=true
9,70,हु,that,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/that.mp3?raw=true
10,103,यि,the,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/the.mp3?raw=true
11,104,b,i,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/I.mp3?raw=true
12,105,choun,your,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/your.mp3?raw=true
