,word,meaning,urls
0,abadī,forever,
1,abadī,endless,
2,abadī,everlasting,
3,abadī,eternally,
4,abadī,perpetually,
5,abadī,evermore,
6,abadī,unceasingly,
7,abdāl,Saint,
8,abdāl,devotee,
9,abdāl,religious person,
10,abal,weak person,
11,abal,have no strength,
12,abrār,holy men,
13,ablι,idiot,
14,ablι,stupid,
15,ablι,foolish,
16,abalvōn,inception of disease,
17,abalvōn,beginning,
18,abalvōn,commencement,
19,abalvōn,initiation,
20,abalvōn,the beginning of something,
21,abrī,a kind of colourful paper for wrapping which is used in binding books,
22,abtar,spoiled,
23,abtar,miserable,
24,abtar,be thrown in disorder,
25,abtar,ruined,
26,abtar,destitute,
27,acānak,chance,
28,acānak,unknowing,
29,acānak,sudden,
30,acānak,hasty,
31,acānak,unexpected,
32,acānak,abrupt,
33,abə̄sι,a name of a kind of flowering plant,
34,abə̄sι,light red colour resembling to colour of a kind of flowering plant,
35,acōv,the calf of a cow who has not given milk,
36,abuz,not roasted,
37,abuz,unprocessed as before a fire or an oven,
38,abyās,practice,
39,abyās,diligent practice,
40,abyās,application,
41,abyās,a habitual practice,
42,ackan,tight long coat with full buttons in front,
43,ackan,achkan,
44,acʰōw,half-done,
45,acʰōw,uncooked,
46,acʰōw,partially cooked,
47,acʰā,& adj. good,
48,acʰā,excellent,
49,acʰā,sound pleasing,
50,acʰā,agreeable,
51,acʰā,virtuous,
52,acʰā,correct,
53,acʰā,genuine,
54,adā karun,be paid,
55,adā karun,be done,
56,adā karun,be performed,
57,adā karun,be expressed,
58,adā,elegance,
59,adā,graceful,
60,adā,manners,
61,adā,coquetry,
62,adā,payment,
63,adā,execution,
64,adā,performance,
65,adā,accomplishment,
66,adιbιsān,respectfully,
67,adιbιsān,politely,
68,adιbιsān,civilly,
69,adιbιsān,considerately,
70,acʰival,proper name of tourist place in Kashmir,
71,adab,good manners,
72,adab,courteousness,
73,adab,politeness,
74,adab,manners,
75,adab,courtesy,
76,adab,etiquette,
77,adab,civility,
78,adākār,actor,
79,adālat,court of justice,
80,adal,alteration,
81,adal,exchange,
82,adal,vice versa,
83,absun,to twist thread,
84,absun,cord,
85,absun,or rope,
86,adākə̄rī,acting,
87,adalι badal,instead,
88,adalι badal,as an alternative,
89,adalι badal,as a substitute,
90,adalι badal,in its place,
91,adārι,institution,
92,adārι,organization,
93,adārι,department,
94,adārι,administration,
95,adārι,establishment,
96,adι,then,
97,adι,afterward,
98,adι,it follows that,
99,adι kar,at what time,
100,adnā,base-born mean,
101,adι kǝti,then at which place,
102,adsā,good,
103,adsā,yes,
104,adsā,well,
105,adsā,fine,
106,adsā,alright,
107,adι kus,then who,
108,abas,vanity,
109,abas,absurdity,
110,abas,trifling,
111,abad,eternity,
112,abad,time without end,
113,aḍ,half,
114,aḍ,mid,
115,aḍ,semi,
116,aḍ,often signifying a portion,
117,advapōr,on other side,
118,advapōr,cross,
119,advapōr,to one side,
120,aḍcʰōv,uncooked,
121,aḍvāns,advance,
122,aḍι dod,half-burnt,
123,aḍlʸok,defective,
124,aḍlʸok,faulty,
125,aḍlʸok,imperfect,
126,aḍlʸok,inadequate,
127,aḍlʸok,lacking,
128,aḍlʸok,incomplete,
129,aḍι brok,half-grinded,
